AverageTime,minimum,maximum,imagesize,vmType,noVMreq,CPUUtilization,MemoryUtilization,NetworkUtil
12.88666667,11.27,14.58,12.7,1,12,70.6416,46.20046409,0.0019128
7.77,7.47,8.07,12.7,2,6,99.8521,46.55388297,0.0052056
75.4,75.4,75.4,572.49,3,4,31.1029,7.262974501,96.7640824
107.95,107.95,107.95,894.56,4,4,28.8839,7.762642463,0.0042832
12.70666667,7.84,15.76,12.7,1,12,99.9896,35.05340035,0.0018488
8.04,7.53,8.55,12.7,2,6,28.9286,6.992054472,0.0047296
107.51,107.51,107.51,894.56,4,4,87.3961,15.59402987,0.001888
12.80666667,10.85,13.91,12.7,1,9,99.9958,38.34498889,0.001848
10.74,8.24,13.24,12.7,2,9,99.8897,22.8659604,0.0032288
75.72,75.22,76.22,572.49,3,8,97.5448,23.65637961,96.0089896
102.6,102.6,102.6,894.56,4,4,100.0229,58.53304592,0.0059752
15.53,14.63,16.41,12.7,1,12,72.5072,70.83597934,0.0019208
7.365,6.44,8.29,12.7,2,6,99.7376,72.6494532,0.005452
75.36,75.36,75.36,572.49,3,3,29.6448,7.375417015,97.398816
106.54,106.54,106.54,894.56,4,1,29.1419,7.943042576,0.0041408
13.886,6.06,18.55,12.7,1,20,99.9937,25.41931585,0.0017808
13.14,6.54,17.6,12.7,2,11,31.1947,8.932881168,0.0157344
75.55,75.55,75.55,572.49,3,5,89.4816,50.32154376,95.0540912
104.77,104.77,104.77,894.56,4,2,99.9833,34.24255942,0.0035808
11.495,10.36,12.63,12.7,1,5,99.9896,64.40830264,0.0018272
7.08,7.08,7.08,12.7,2,4,100.41,58.18312088,0.0025008
88.95333333,83.3,93.01,572.49,3,9,97.7802,52.04872968,96.3132032
102.96,102.96,102.96,894.56,4,4,99.7399,73.60280334,0.0085784
20.086,18.96,21.6,12.7,1,18,71.248,54.13811828,0.001992
6.765,5.55,7.98,12.7,2,8,99.3628,67.47672846,0.0139552
74.46,74.46,74.46,572.49,3,1,31.6381,7.367740415,95.144388
106.55,106.55,106.55,894.56,4,2,24.432,8.010508085,0.0039288
15.728,6.47,19.67,12.7,1,19,99.9917,48.1709392,0.0018984
